S,T,R,ST
JEWEL,box,hammering and sawing,negative
JEWEL,flowers,raising,positive
JEWEL,fan,laying,neutral
JEWEL,pa,sickness,negative
JEWEL,nails,driving,neutral
JEWEL,God,belief,negative
DARL,pa,watching,neutral
pa,shirt,faded,neutral
shirt,sweat stain,lack of,neutral
pa,sweat,lack of,neutral
DARL,pa,waiting,negative
JEWEL,neighbours,watching,negative
DEWEY DELL,Lafe,picking,neutral
DEWEY DELL,row,picking,neutral
DEWEY DELL,sack,filling,neutral
DEWEY DELL,woods,approaching,neutral
DEWEY DELL,DARL,knowing,negative
he,JEWEL,says,neutral
I,roads,is,neutral
roads,good,is,positive
roads,rain,fixing to,neutral
His folks,New Hope,buries at,neutral
roads,marry a woman,have,neutral
he,land,looks out over,neutral
I,time,fixing to,neutral
It,time,means,neutral
he,says,she’s a-going,neutral
I,mammy,mind,neutral
I,mammy,lived to,positive
I,mammy,Worked every day,positive
I,mammy,never a sick day since,positive
mammy,chap,until,neutral
mammy,lace-trimmed nightgown,taken,neutral
mammy,took,and laid down,neutral
mammy,looked around her,kind of,neutral
he,Lord,giveth,positive
breath,Lord,breathed,positive
boy,hill,comes up,neutral
boy,fish,is carrying,neutral
he,fish,slings,neutral
he,grunts,and spits,neutral
I,hog,say,neutral
he,turns it over,he says,neutral
I,Vardaman,say,neutral
Addie,said,goes to bed final,negative
Anse,knees,rubbing,neutral
I,Anse,I wouldn’t worry,positive
he,says,The Lord giveth,positive
it,breath,Never a truer,positive
boy,hill,comes up,neutral
he,fish,is carrying,neutral
I,A hog,say,neutral
What’s that,hood,a hog,neutral
I,Vardaman,says,neutral
he,comes toward,He says,neutral
Cora,door,goes to,neutral
he,Anse,looks at,neutral
Anse,fish,clean,neutral
Anse,fish,clean,neutral
Vardaman,cusses,cusses,negative
Vardaman,cusses,cusses,negative
Vardaman,cusses it,cusses,negative
Vardaman,picks it up,dirtying,neutral
Anse,wrists,dangle,neutral
Anse,eyes,look,neutral
the shadow,steps,touches,neutral
I,Cora,comes to,neutral
Anse,shoes,reaches for,neutral
he,they clumping,can hear,neutral
he,comes toward,comes toward,neutral
I,wiping,comes toward,neutral
Cora,wiping,fanning,neutral
he,comes toward,comes toward,neutral
Cora,sets,sets,neutral
Cora,says,It’s fixing to,neutral
Anse,CORA,lett,neutral
Cora,saing,says,neutral
Anse,looks around,looks around,neutral
Cash,trimming,knocking and hammering,neutral
I,trip,If there’s ere a thing,neutral
I,Anse,told,neutral
I,I,told him,neutral
sick,hold out,hold out,positive
I,Cash,to get,neutral
I,Cash and Darl,get married,neutral
cash,threaten me,threaten me,negative
Lord,comfort,comfort,positive
I,Cash,Don't,negative
I,Ineed,’Tain’t,neutral
I,CORA,says,neutral
God,corn,will help,neutral
I,will help him,tell,neutral
I,cash,if,neutral
I,Cash,will get to you,neutral
Cash,if,’Tain’t no,neutral
I,don’t know,I just,neutral
I,Anse,kept him,neutral
I,I,reckon,neutral
I,Jewel,ain’t to,negative
I,Cash,ain’t,negative
I,Jewel,don’t,negative
I,I,reckon,neutral
about Anse,they can't to married,could,neutral
rid,VARDAMAN,killed,neutral
I,ANSE,say,neutral
I,It,’s fixing to,neutral
wagon,Cake-box,set,neutral
I,It,s fixing to,neutral
Peabody,JEWEL,said,neutral
Peabody,Anse,sent for,negative
Peabody,Vernon Tull,sent for,neutral
Peabody,Vernon Tull,helps,positive
Peabody,JEWEL,said to,neutral
Peabody,Anse,sent for,negative
Peabody,Anse,need a doctor,negative
Peabody,Vernon Tull,helps,positive
Peabody,Anse,sent for,negative
Peabody,Anse,need a doctor,negative
Peabody,Vernon Tull,helps,positive
Peabody,Addie Bundren,treats,neutral
Peabody,Vernon Tull,helps,positive
Peabody,Vernon Tull,sends for,positive
Peabody,Addie Bundren,visits,neutral
Peabody,Vernon Tull,helps,positive
Pa,Vardaman,said to,neutral
Pa,Cash,says to,neutral
Vardaman,pa,said,neutral
Vardaman,pa,says to,neutral
DARL,Dewey Dell,said to,neutral
DARL,Dewey Dell,told to,neutral
Vardaman,Addie Bundren,said to,neutral
Vardaman,Addie Bundren,says to,neutral
Vardaman,Anse,said,neutral
Vardaman,Anse,says to,neutral
Anse,Dewey Dell,says to,negative
Anse,Dewey Dell,ask,negative
Peabody,Cash,believes,positive
Peabody,Vernon Tull,believes,positive
Peabody,Vernon Tull,believes,positive
Peabody,pa,says,neutral
Peabody,pa,says to,neutral
DARL,JEWEL,said,neutral
DARL,Addie Bundren,speaks to,neutral
DARL,Addie Bundren,tells,neutral
Vardaman,Addie Bundren,says to,neutral
Vardaman,Addie Bundren,asks,neutral
Vardaman,me,says to,neutral
Vardaman,me,asks,neutral
Pa,pa,speaks to,neutral
Pa,pa,tells,neutral
peabody,Anse,sends for,neutral
Pa,Dewey Dell,says,neutral
Pa,Dewey Dell,says to,neutral
pa,Cash,says to,neutral
pa,Dewey Dell,says,neutral
pa,Dewey Dell,says to,neutral
DARL,Vardaman,said to,neutral
DARL,Addie Bundren,speaks to,neutral
DARL,Addie Bundren,tells,neutral
Vardaman,Addie Bundren,says to,neutral
Vardaman,Addie Bundren,asks,neutral
Vardaman,me,says to,neutral
Vardaman,me,asks,neutral
Peabody,Cash,believes,positive
Peabody,Vernon Tull,believes,positive
Peabody,Vernon Tull,believes,positive
Cash,pa,says,neutral
Cash,pa,looks at,neutral
pa,Cash,says,neutral
pa,Cash,enters,neutral
Cash,bed,looks down at,neutral
pa,Cash,says,neutral
pa,Cash,approach,neutral
Cash,bed,looks down at,neutral
Cash,pa,not listening,negative
Cash,room,leaves,neutral
saw,sound,begins,neutral
pa,says,scouring,neutral
pa,hand,lays on,neutral
pa,Cash,not eating,negative
pa,Cash,says,negative
pa,table,pushes,neutral
Dewey Dell,pa,says,negative
Dewey Dell,pa,tries,neutral
Dewey Dell,barn,going,neutral
peabody’s team,Dewey Dell,run away,neutral
Dewey Dell,pa,helps himself,neutral
pa,hands,half-closed,neutral
pa,head,bowed,neutral
pa,hands,looks like,negative
Cash,pa,eating,positive
pa,Dewey Dell,says,neutral
pa,Dewey Dell,told,neutral
Dewey Dell,bananas,get,positive
Dewey Dell,train,behind,neutral
sugar,flour,costs,neutral
God,train,made,positive
God,place,made,neutral
rabbit,town,go,neutral
possums,town,go,neutral
Peabody,Addie Bundren,gone,negative
Cora,Addie Bundren,gone,negative
Cora,Vernon Tull,get,neutral
Darl,sorrow,think,neutral
Darl,Cora,think,neutral
judgment on Anse Bundren,Cora,show,neutral
Cash,lantern,sits,neutral
Cash,boards,labours,neutral
boards,rain,shake,neutral
rain,lantern,cover,negative
Vernon Tull,Cash,help,neutral
rain,lantern,shielding,neutral
rain,lantern,blowing,negative
Mrs. Tull,Vernon,call,neutral
Vernon,Mrs. Tull,go,neutral
Vernon,Mrs. Tull,finish,neutral
rain,Cash,soak,negative
Cash,pa,return,neutral
pa,raincoat,wearing,neutral
pa,raincoat,carry,neutral
raincoat,Cash,take,neutral
raincoat,pa,spread,neutral
Mrs. Tull,Vernon,come,neutral
Vernon,Cash,hunt,neutral
Mrs. Tull,Vernon,call,neutral
Mrs. Tull,Vernon,watch,neutral
Mrs. Tull,Vernon,leave,neutral
Vernon,Mrs. Tull,enter,neutral
planks,Vernon,put,neutral
Cash,plank,bevel,neutral
Mrs. Tull,Vernon,watch,neutral
Mrs. Tull,Vernon,enter,neutral
Mrs. Tull,Vernon,leave,neutral
Vernon,planks,get,neutral
Mrs. Tull,Vernon,call,neutral
Mrs. Tull,Vernon,leave,neutral
Vernon,Cash,help,neutral
Vernon,Mrs. Tull,call,neutral
Vernon,Mrs. Tull,enter,neutral
Vernon,Cash,finish,neutral
Mrs. Tull,Vernon,watch,neutral
Cash,lantern,cover,positive
lantern,tools,puts,neutral
lantern,return,affirm,neutral
Vernon,bevel,hold,neutral
Vernon,Cash,hold,neutral
peabody,Deadie bundren,laying,negative
"first harsh, sparse, swift drops",leaves,rush,positive
rain,ceases,begin,neutral
Cash,nail,drive,neutral
four of them,coffin,raise,neutral
coffin,bed,set,neutral
peabody,snack,propose,neutral
Cash,lantern,cover,neutral
Cash,return,affirm,neutral
Anse,JEWEL,itching,neutral
Anse,Jefferson,promised,positive
Peabody,Lord,take care of,positive
Armstid,Anse,like,neutral
Cash,shirt,put on,positive
Cash,shirt,clean,positive
everyone,Lord,made,neutral
Cash,leg,broke,negative
Armstid,Cash,got off with,positive
write,Cash,falling,neutral
write,Cash,mind,neutral
Cash,cotton,mind,neutral
Cash,corn,mind,neutral
Peabody,foliage,happening,neutral
foliage,worth,happening,neutral
Peabody,foliage,clean,negative
Cash,planks,slip,negative
Cash,planks,fall,negative
Cash,planks,wet,negative
DARL,buzzards,hang,neutral
horse,dead,is,neutral
buzzards,hang,motionless,neutral
pa,JEWEL,say,neutral
JEWEL,God,refer,neutral
JEWEL,house,move_to,neutral
JEWEL,door,move_through,neutral
pa,door,shut,neutral
pa,door,lock,neutral
JEWEL,door,not_wait,negative
JEWEL,door,say,neutral
we,it,lower_carefully,positive
we,it,move,neutral
we,it,balance,positive
we,it,avert_faces,neutral
we,it,breathe,neutral
we,it,go,neutral
we,path,Move_toward,neutral
we,slope,move_to,neutral
Cash,it,say,neutral
Cash,it,not_balanced,negative
we,Cash,leave_behind,neutral
JEWEL,Cash,leave,neutral
we,end,carry_alone,neutral
we,end,not_carry,negative
JEWEL,end,carry_alone,neutral
JEWEL,me,carry_not_touching,neutral
JEWEL,end,let_overshoot,neutral
JEWEL,end,stop_and_slough,neutral
JEWEL,me,looks_back,neutral
JEWEL,face,suffused_with,negative
VARDAMAN,Dewey Dell,say,neutral
VARDAMAN,Dewey Dell,refer_to,neutral
pa,Jewel,say,neutral
pa,Jewel,not_stop,negative
pa,Jewel,say,neutral
pa,Jewel,say,neutral
pa,ma,go_in_wagon,neutral
pa,Vernon,see,neutral
Darl,Jewel,say,neutral
I,Darl,refer_to,neutral
I,Darl,say,neutral
Darl,I,ask,neutral
Darl,I,ask,neutral
I,Darl,say,neutral
I,Darl,ask,neutral
Cash,I,have,neutral
I,Darl,say,neutral
Darl,I,know,neutral
I,Darl,say,neutral
Cash,I,tell,neutral
pa,Cash,look,neutral
Cash,pa,stop,neutral
pa,Darl,look,neutral
Dewey Dell,package,have,neutral
Dewey Dell,basket,have,neutral
Dewey Dell,basket,set_into,neutral
Dewey Dell,parcel,set_on,neutral
he,barn,enter,neutral
Dewey Dell,basket,carry,neutral
Dewey Dell,basket,set_into,neutral
Dewey Dell,leg,come_long,neutral
we,motion,be_uninferant_of_progress,neutral
we,time,decrease_between,neutral
we,road,look_at,neutral
we,road,creak,neutral
Cash,it,spit_over,neutral
we,mile,go,neutral
he,horse,sit,neutral
pa,horse,bring,negative
pa,said_it,do,negative
VARDAMAN,hand,raise,neutral
ANSE,God,believes,neutral
ANSE,Rachel,mentions,neutral
ANSE,Cash,mentions,neutral
ANSE,Bundren,mentions,neutral
ANSE,new hope,mentions,neutral
ANSE,womb of time,mentions,negative
samson,Jewel,mentions,neutral
samson,Quick,mentions,neutral
samson,MacCallum,mentions,neutral
samson,Bundren,mentions,neutral
samson,new hope,mentions,neutral
samson,Bridge,mentions,neutral
Dewey Dell,Bundren,hears about death of mother,negative
Dewey Dell,Cash,mentions,neutral
Dewey Dell,Vardaman,witnesses death of Darl,negative
Dewey Dell,Vardaman,thinks about persuading,neutral
JEWEL,MacCallum,know,positive
JEWEL,DEWEY DELL,know,positive
JEWEL,God,believe,positive
JEWEL,horse,sit,neutral
DEWEY DELL,MacCallum,know,positive
DEWEY DELL,God,believe,positive
DEWEY DELL,road,see,neutral
DEWEY DELL,time,wish,neutral
DEWEY DELL,earth,mention,neutral
DEWEY DELL,JEWEL,mention,neutral
DEWEY DELL,Darl,mention,neutral
DEWEY DELL,Vardaman,mention,neutral
DEWEY DELL,Mrs. Tull,mention,neutral
DEWEY DELL,horse,sit,neutral
God,JEWEL,believe in,positive
house,New Hope,mention,neutral
time,New Hope,mention,neutral
earth,New Hope,mention,neutral
Buzzards,air,sit on,neutral
Cow,Vernon,look after,positive
road,field,pass,neutral
rice,tin roof,mention,neutral
Lane,Barn,pass,neutral
Lane,cotton,pass,neutral
Lane,hill,pass,neutral
cotton,hill,locate near,neutral
log,river,float on,neutral
log,jam,get shoved over,neutral
earth,levee,hide,neutral
water,circus,locate near,neutral
water,tangle of yellow,hide,neutral
water,planks,locate on,neutral
tangle of yellow,planks,locate on,neutral
planks,logs,connect with,neutral
planks,jam,connect with,neutral
jam,foam,hide,neutral
jam,quick sand,hide,neutral
horse-back,shade,bring comfort to,positive
jaws,knife,insert into,neutral
fish,jaws,insert into,neutral
milk,bucket,fill,neutral
cows,plate,locate on,neutral
cows,mule,locate near,neutral
mule,hole,pass through,neutral
Mrs. Tull,barn,enter,neutral
Mrs. Tull,lane,walk on,neutral
macCallum,DEWEY DELL,know,positive
DEWEY DELL,horse,sit on,neutral
DEWEY DELL,JEWEL,mention,neutral
DEWEY DELL,Darl,mention,neutral
DEWEY DELL,Vardaman,mention,neutral
DEWEY DELL,horse,sit on,neutral
ma,Cash,said,neutral
ma,pa,wanted,neutral
pa,Jewel,want,neutral
pa,Jewel,seem,negative
pa,Jewel,eat,neutral
pa,Jewel,swear,neutral
Jewel,Dewey Dell,got,positive
Jewel,Vardaman,got,positive
Jewel,pa,hide,positive
Jewel,pa,got,neutral
ma,Dewey Dell,got,positive
ma,Dewey Dell,found,positive
Dewey Dell,Jewel,hide,neutral
Dewey Dell,ma,found,negative
Dewey Dell,Jewel,milking,neutral
Dewey Dell,Vardaman,doing,positive
Dewey Dell,ma,found,positive
I,Cash,told,neutral
I,pa,knew,neutral
I,pa,didn't tell,neutral
I,Cash,knew,neutral
I,ma,found,neutral
I,Cash,said,neutral
I,Cash,wondered,neutral
I,Cash,thought,neutral
Cash,Jewel,saw,neutral
Cash,Jewel,appeared,neutral
Cash,Jewel,knew,neutral
Cash,I,said,neutral
Cash,I,thought,neutral
I,Jewel,acting,neutral
I,Jewel,wondered,neutral
Cash,I,said,neutral
Cash,I,thought,neutral
Cash,I,said,neutral
Cash,I,watching,neutral
ma,Jewel,cried,negative
ma,Jewel,hating,negative
Jewel,I,tell,neutral
