S,T,R,ST
Distributed Proofreaders Canada eBook,ebook,made available,positive
ebook,FP administrator,contact,neutral
ebook,William Faulkner,author,neutral
ebook,Delphine Lettau,produced by,positive
ebook,Cindy Beyer,produced by,positive
ebook,Cover Illustration,has,neutral
ebook,AS I LAY DYING,has,neutral
ebook,SOLDIERS’ PAY,has,neutral
ebook,THE SOUND AND THE FURY,has,neutral
ebook,SANCTUARY,has,neutral
ebook,SARTORIS,has,neutral
ebook,LIGHT IN AUGUST,has,neutral
ebook,THESE THIRTEEN,has,neutral
ebook,DOCTOR MARTINO,has,neutral
ebook,Chatto & Windus,produced by,positive
ebook,LONDON,produced in,neutral
ebook,GREAT BRITAIN,produced in,neutral
ebook,HAL SMITH,dedicated to,positive
AS I LAY DYING,William Faulkner,written by,neutral
JEWEL,Addie Bundren,related to,neutral
CORA,Mr. Tull,engaged to sell,neutral
CORA,Miss Lawington,advised by,positive
CORA,Kate,conversation with,neutral
Lord,heart,can see into,positive
pa,shirt,is faded,neutral
pa,sweat stain,has never seen,neutral
pa,sun,was sick from,negative
pa,team,promised,positive
Vernon,dust,spits into,neutral
Jewel,ma,talks about,neutral
Jewel,Cash,looks at,neutral
Jewel,wagon,wants to go in,positive
Jewel,rain,thinks it will,neutral
Jewel,land,looks out across,neutral
Jewel,snuff,mouths,neutral
Jewel,hall,goes down,neutral
Vernon,Jewel,glances back at,neutral
CORA,Anse Bundren,was driving,negative
CORA,Darl,was different from,positive
CORA,Jewel,laboured so to bear,neutral
CORA,Mr. Tull,says,neutral
CORA,Great Unknown,faces,neutral
she,little one,was,positive
Mr. Tull,Anse,said,positive
I,Anse,said,negative
I,Mr. Tull,said,negative
woman’s place,husband and children,is,positive
I,Alabama,want to go back to,negative
I,you,leave,negative
I,you,left,positive
I,you,cast,positive
I,you,lay me down,positive
I,you,will be surrounded by,positive
Addie Bundren,dying,alone,negative
Addie Bundren,hiding,pride and her broken heart,negative
Addie Bundren,Glad to go,was,positive
